company,title,location
E.ON Deutschland,Business Analyst für E2E-Prozessoptimierung im Kundenmanagement (m/w/d),"Potsdam, Brandenburg, Germany"
Grafton Recruitment,Hungarian speaking Social Media Analyst (gn),"Berlin, Berlin, Germany"
VICTORIA | Internationale Hochschule,Duales Studium Business Administration (B.A.) Hotel- & Tourismusmanagement - Visit Berlin,"Berlin, Berlin, Germany"
Luxoft Germany,"Business Analyst (German C1, m/w/d)","Berlin, Germany"
EDEKA Minden-Hannover,Duales Studium Einzelhandel (B.A. Betriebswirtschaft/Handel) - 2024,"Berlin, Berlin, Germany"
VICTORIA | Internationale Hochschule,Duales Studium Business Administration (B.A.) Marketingkommunikation & Digitale Medien - Verlag der Tagesspiegel,"Berlin, Berlin, Germany"
Capgemini,Consultant / Business Analyst / Projektmanager Life Sciences & Chemicals (w/m/d),"Berlin, Berlin, Germany"
Ing.ges. BBP Bauconsulting GmbH,Technischer Systemplaner Heizung TGA / Planer HLS (m/w/d) BA-29,"Berlin, Berlin, Germany"
ZETCON Ingenieure GmbH,Projektleiter und einen Planungsingenieur (m/w/d) für Verkehrsanlagen (Dipl.-Ing./BA/MA),Berlin Metropolitan Area
Ing.ges. BBP Bauconsulting GmbH,Projektingenieur / Fachplaner TGA Schwerpunkt Lüftungstechnik (m/w/d) BA-23,"Berlin, Berlin, Germany"
Ing.ges. BBP Bauconsulting GmbH,Bauüberwacher bzw. Bauleiter Hochbau - Bauingenieur / Bautechniker / Architekt (m/w/d) BA-20,"Berlin, Berlin, Germany"
Jobs via eFinancialCareers,"Chief of Staff to the CFO - Business Analyst Special Projects (Finance, Tax, Legal, M&A)","Berlin, Berlin, Germany"
Options Group Germany GmbH,"Chief of Staff to the CFO - Business Analyst Special Projects (Finance, Tax, Legal, M&A)","Berlin, Berlin, Germany"
Bitpanda,Marketing Data Analyst,"Berlin, Berlin, Germany"
JustPlay,Data Analyst,"Berlin, Berlin, Germany"
Pandata GmbH,Marketing Data Analyst,"Berlin, Berlin, Germany"
Canonical,Marketing Data Analyst,"Berlin, Berlin, Germany"
E.ON,CRM / Marketing Analyst (m/f/d) E.ON Hydrogen GmbH,"Berlin, Berlin, Germany"
umaris GmbH & Co. KG,Big Data Analyst / Business Analyst (m/w/d),"Potsdam, Brandenburg, Germany"
KENFO - Fonds zur Finanzierung der kerntechnischen Entsorgung,Business Analyst (IT) (m/w/d),"Berlin, Berlin, Germany"
Avaloq,Business Analyst - Level 2 - Output and Security Access.,"Berlin, Berlin, Germany"
Enpal,Growth & Expansion Analyst (w/m/d),"Berlin, Berlin, Germany"
myGwork - LGBTQ+ Business Community,Business Analyst - Level 2 - Output and Security Access.,"Berlin, Berlin, Germany"
myGwork - LGBTQ+ Business Community,Business Analyst* - Anti Money Laundering,"Berlin, Berlin, Germany"
BWI GmbH,Business Analyst - Funk und Telekommunikation (m/w/d),"Berlin, Berlin, Germany"
IU International University of Applied Sciences,Duales Studium Mediendesign (B.A.) am Campus oder virtuell,"Potsdam, Brandenburg, Germany"
IU International University of Applied Sciences,Duales Studium Mediendesign (B.A.) am Campus oder virtuell,"Berlin, Berlin, Germany"
